%-Parking-data-(estimated-cars-per-bay)-for-bay-344
@relation parking

@attribute eventTime date ‘yyyy-MM-dd-HH:mm:ss’
@attribute occupiedSpaces numeric

@data
2013-04-30-12:00:00,0.483333333333333
2013-06-13-08:00:00,0.483333333333333
2013-07-22-08:00:00,0.916666666666667
2013-11-12-09:00:00,1.16666666666667
2013-08-02-13:00:00,1
2014-02-06-15:00:00,3.55
2013-05-03-17:00:00,4
2013-06-06-13:00:00,1.51666666666667
2013-12-17-12:00:00,0.65
2013-06-10-16:00:00,1
2013-10-31-14:00:00,3.46666666666667
2013-08-27-08:00:00,0.466666666666667
2013-06-02-08:00:00,0.333333333333333
2013-05-28-13:00:00,1.9
2013-04-12-11:00:00,2
2013-09-09-11:00:00,1.13333333333333
2013-10-18-13:00:00,3.25
2013-12-10-18:00:00,0.8
2013-04-08-08:00:00,0.533333333333333
2013-07-02-10:00:00,2.83333333333333
2013-05-07-08:00:00,1
2013-10-04-12:00:00,2.31666666666667
2014-01-03-13:00:00,2.16666666666667
2014-01-07-08:00:00,0.433333333333333
2013-04-30-10:00:00,1
2013-06-13-10:00:00,1
2013-10-24-11:00:00,2.15
2013-09-18-14:00:00,2.23333333333333
2013-05-21-15:00:00,2.08333333333333
2013-11-26-18:00:00,0.7
2014-02-06-09:00:00,1
2013-09-12-12:00:00,1.36666666666667
2013-08-19-18:00:00,0.916666666666667
2013-08-02-11:00:00,2.18333333333333
2013-07-22-10:00:00,3
2013-05-28-15:00:00,0.9
2013-08-07-12:00:00,4.6
2014-02-12-11:00:00,0.783333333333333
2013-06-06-15:00:00,0.65
2013-09-02-17:00:00,1.66666666666667
2013-04-08-10:00:00,1
2014-02-04-17:00:00,3.8
2013-10-18-16:00:00,2.88333333333333
2013-12-10-16:00:00,2.71666666666667
2013-10-31-12:00:00,2.63333333333333
2013-05-07-10:00:00,2.18333333333333
2014-01-07-10:00:00,0.566666666666667
2013-12-18-10:00:00,2.85
2013-11-08-07:00:00,0.166666666666667
2013-09-09-09:00:00,2.3
2013-05-31-16:00:00,1.86666666666667
2013-10-24-09:00:00,1
2013-09-18-12:00:00,2.83333333333333
2014-01-03-15:00:00,0.3
2013-08-21-14:00:00,2.03333333333333
2013-11-06-13:00:00,2.01666666666667
2013-10-04-10:00:00,2.16666666666667
2013-09-12-14:00:00,2
2013-08-02-09:00:00,2.68333333333333
2013-04-30-08:00:00,0.616666666666667
2013-06-13-20:00:00,0.15
2013-10-01-13:00:00,3.61666666666667
2013-04-03-17:00:00,1.96666666666667
2014-02-06-11:00:00,2
2013-11-08-18:00:00,0.466666666666667
2013-05-21-13:00:00,1
2013-07-22-12:00:00,2.45
2013-07-02-18:00:00,1.81666666666667
2013-06-06-09:00:00,3.05
2013-12-31-16:00:00,2
2013-05-28-17:00:00,2
2013-08-07-14:00:00,1
2013-08-29-18:00:00,1.45
2013-12-14-13:00:00,1
2013-12-18-08:00:00,0.533333333333333
2013-04-12-15:00:00,1
2013-10-04-08:00:00,0.766666666666667
2013-08-21-12:00:00,1.98333333333333
2013-05-31-18:00:00,1.55
2013-10-24-15:00:00,1.83333333333333
2013-11-06-15:00:00,2.53333333333333
2013-05-07-12:00:00,3.4
2013-09-18-18:00:00,0.5
2013-10-28-18:00:00,0.483333333333333
2013-11-08-16:00:00,1
2013-10-01-15:00:00,4.58333333333333
2013-07-22-14:00:00,1.45
2013-06-21-12:00:00,1.86666666666667
2013-05-21-11:00:00,3
2013-06-06-11:00:00,2.48333333333333
2014-01-17-10:00:00,0.05
2014-02-05-14:00:00,2.96666666666667
2013-08-07-08:00:00,0.25
2014-01-02-17:00:00,2.31666666666667
2013-09-24-08:00:00,0.516666666666667
2013-05-20-09:00:00,2.1
2013-12-31-18:00:00,0.533333333333333
2013-05-07-14:00:00,4.85
2013-08-12-13:00:00,2.23333333333333
2013-08-21-10:00:00,3.01666666666667
2013-11-06-09:00:00,3
2013-08-29-16:00:00,2
2013-10-28-16:00:00,1
2013-12-11-12:00:00,2.81666666666667
2013-06-13-16:00:00,0.983333333333333
2013-08-08-08:00:00,0.566666666666667
2013-07-31-10:00:00,1.26666666666667
2013-10-24-13:00:00,2
2013-06-21-14:00:00,1.13333333333333
2014-01-29-11:00:00,2
2013-05-21-09:00:00,3
2014-02-12-10:00:00,1.5
2013-07-26-13:00:00,2
2013-09-10-17:00:00,1
2014-01-08-14:00:00,1.43333333333333
2013-07-22-16:00:00,2.28333333333333
2013-04-16-17:00:00,1
2013-10-01-09:00:00,3
2014-01-27-12:00:00,2
2013-04-10-18:00:00,1.5
2013-08-07-10:00:00,3
2013-10-10-12:00:00,2.06666666666667
2014-01-28-16:00:00,2
2013-05-16-14:00:00,1.45
2013-05-20-11:00:00,2.35
2013-12-18-12:00:00,1.08333333333333
2013-09-24-10:00:00,3
2013-07-31-08:00:00,1
2013-11-06-11:00:00,2
2013-08-12-15:00:00,2.9
2013-08-21-08:00:00,0.55
2013-04-18-17:00:00,1.51666666666667
2013-06-21-08:00:00,0.7
2013-05-17-08:00:00,0.233333333333333
2013-10-28-14:00:00,1
2013-12-11-14:00:00,1.43333333333333
2013-09-03-07:00:00,0.216666666666667
2013-10-01-11:00:00,3.43333333333333
2013-07-22-18:00:00,1.8
2013-07-26-15:00:00,1.28333333333333
2013-12-17-18:00:00,0.5
2013-09-17-14:00:00,2.68333333333333
2013-04-10-16:00:00,1.95
2013-07-30-08:00:00,1
2013-10-10-14:00:00,0.55
2013-05-20-13:00:00,2.7
2013-08-07-20:00:00,1
2014-01-17-14:00:00,1.33333333333333
2014-01-28-18:00:00,1.06666666666667
2013-10-14-09:00:00,1.45
2013-09-24-12:00:00,3.93333333333333
2014-01-22-11:00:00,1
2013-08-08-12:00:00,2
2013-08-12-09:00:00,2.88333333333333
2013-09-03-09:00:00,1.46666666666667
2013-10-18-15:00:00,3.81666666666667
2013-12-15-13:00:00,1
2013-05-31-08:00:00,0.883333333333333
2013-10-28-12:00:00,2
2013-12-11-08:00:00,0.533333333333333
2013-06-10-18:00:00,0.5
2013-04-13-11:00:00,2
2013-06-21-10:00:00,0.666666666666667
2013-07-30-10:00:00,0.95
2013-09-17-12:00:00,3.4
2013-07-26-09:00:00,3
2013-10-05-14:00:00,0.533333333333333
2014-01-27-15:00:00,2
2013-06-14-15:00:00,1.55
2014-01-17-12:00:00,0.283333333333333
2013-11-18-13:00:00,0.75
2013-09-30-17:00:00,0.3
2013-07-17-12:00:00,1.86666666666667
2013-10-14-11:00:00,2.63333333333333
2013-09-24-14:00:00,3.95
2013-05-20-15:00:00,2.6
2013-09-13-13:00:00,2
2013-06-07-15:00:00,0.9
2013-08-12-11:00:00,3
2014-01-29-10:00:00,1.91666666666667
2013-10-28-10:00:00,1
2013-12-11-10:00:00,3.21666666666667
2013-08-08-14:00:00,0.583333333333333
2013-05-27-15:00:00,1
2013-05-31-10:00:00,2
2013-09-27-17:00:00,1
2013-05-21-19:00:00,0.166666666666667
2013-12-15-15:00:00,1
2013-09-03-11:00:00,2
2013-04-13-09:00:00,1
2013-06-26-07:00:00,1
2013-07-26-11:00:00,3
2014-01-04-15:00:00,0.416666666666667
2013-07-30-12:00:00,1
2013-06-04-17:00:00,2.35
2013-11-18-15:00:00,1.03333333333333
2013-08-07-16:00:00,1.36666666666667
2013-10-25-13:00:00,4.88333333333333
2013-12-04-10:00:00,1.46666666666667
2013-09-17-10:00:00,4
2013-07-15-17:00:00,1
2013-10-10-10:00:00,1.75
2014-01-13-15:00:00,1
2013-10-14-13:00:00,3.66666666666667
2013-05-13-18:00:00,1.13333333333333
2013-09-20-13:00:00,2.68333333333333
2014-02-05-15:00:00,2.71666666666667
